0,1.84
0,4.29
0,7.13
0,10.5
0,14.64
0,19.88
0,26.7
0,35.67
0,47.11
0,61.02
0,77.65
0,98.99
1,2.32
1,5.64
1,9.72
1,14.94
1,21.94
1,31.76
1,45.82
1,65.41
2,2.2
2,5.29
2,9.03
2,13.72
2,19.85
2,28.18
2,39.71
2,55.19
2,75.47
3,2.1
3,5.02
3,8.53
3,12.92
3,18.65
3,26.49
3,37.54
3,52.71
3,73.4
4,2.41
4,5.9
4,10.23
4,15.84
4,23.48
4,34.46
4,50.22
4,73.05
5,1.92
5,4.51
5,7.53
5,11.17
5,15.69
5,21.5
5,29.17
5,39.28
5,52.09
5,67.72
5,86.91
6,1.7
6,3.9
6,6.39
6,9.25
6,12.62
6,16.69
6,21.73
6,28.08
6,36.01
6,45.61
6,56.84
6,69.63
6,84.2
7,1.91
7,4.48
7,7.49
7,11.12
7,15.66
7,21.56
7,29.46
7,40.03
7,53.66
7,70.63
7,92.9
8,2.14
8,5.12
8,8.69
8,13.11
8,18.79
8,26.36
8,36.65
8,50.19
8,67.43
8,89.8
9,2.07
9,4.92
9,8.3
9,12.45
9,17.72
9,24.64
9,33.94
9,46.23
9,61.63
9,80.94
10,1.94
10,4.56
10,7.63
10,11.34
10,15.98
10,21.98
10,29.96
10,40.54
10,54.03
10,70.58
10,91.55
11,1.72
11,3.95
11,6.48
11,9.4
11,12.85
11,17.05
11,22.28
11,28.9
11,37.2
11,47.31
11,59.13
11,72.66
11,88.24
12,2.11
12,5.03
12,8.52
12,12.84
12,18.4
12,25.83
12,35.98
12,49.49
12,66.74
12,89.55
13,2.06
13,4.9
13,8.29
13,12.48
13,17.87
13,25.07
13,35
13,48.44
13,65.76
13,89.43
14,1.85
14,4.32
14,7.18
14,10.58
14,14.74
14,20.01
14,26.84
14,35.78
14,47.15
14,60.96
14,77.39
14,97.76
15,2.11
15,5.04
15,8.53
15,12.84
15,18.35
15,25.63
15,35.46
15,48.42
15,64.79
15,85.39
16,1.94
16,4.56
16,7.62
16,11.3
16,15.87
16,21.74
16,29.48
16,39.68
16,52.52
16,68.08
16,87.32
17,1.9
17,4.45
17,7.42
17,10.96
17,15.3
17,20.8
17,27.9
17,37.06
17,48.51
17,62.27
